Permalink,Post Message,Attribute,Posted,Lifetime Post Total Reach,Lifetime Post Paid Reach,Lifetime Post organic reach,Lifetime Post Consumers
,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who clicked anywhere in your post. (Unique Users)
https://www.facebook.com/tippingpoint/posts/10155224054981097,"Students from the UC Berkeley's Goldman School of Public Policy presented their findings on how to best get low-income families to take advantage of their earned income tax credit. Only around 20% of Californians have even heard of the credit, leaving billions of dollars unclaimed. Read what we're doing about it on our blog:",Data,5/11/18 3:59 PM,15,0,15,0
https://www.facebook.com/tippingpoint/posts/10155222268021097,Congratulations Eastside College Preparatory School Class of 2018! We are fired up to see what you do next! #TippingPointGrantees #BeATippingPoint,Education,5/10/18 6:18 PM,303,0,303,4
https://www.facebook.com/tippingpoint/posts/10155222242906097,We are encouraged to see universal preschool and the needs of children 0-5 take center stage in California's gubernatorial debate.   Tipping Point invests in non-profits throughout our region that provide early childhood wellness services because we believe this is how to build a better Bay Area. EdSource,Early Childhood,5/10/18 5:59 PM,542,0,542,4
https://www.facebook.com/tippingpoint/posts/10155220222006097,Burbank Housing is breaking ground on the first affordable housing development in the North Bay since the #NorthBayFires last October - proud to do our part to support this project! #TippingPointGrantees #NapaStrong North Bay Business Journal,Fire Relief,5/9/18 5:05 PM,425,0,425,4
https://www.facebook.com/tippingpoint/posts/10155219966751097,People who experience homelessness as adolescents are 5x more likely to experience homelessness as adults. #SB918 will create an Office of Homeless Youth to focus resources and services to #EndYouthHomelessness. San Francisco Chronicle,Homelessness,5/9/18 2:07 PM,864,0,864,17
https://www.facebook.com/tippingpoint/posts/10155218298246097,#TippingPointGrantees Year Up Bay Area + Genesys Works - Bay Area get a shout out from Fast Company for creating opportunities for low-income people to accelerate their careers.,Employment,5/8/18 5:32 PM,1038,0,1038,16
https://www.facebook.com/tippingpoint/posts/10155218001851097,"A well-deserved honor for Lucia Martel-Dow, Director of Immigration Legal Services at Canal Alliance. #TippingPointGrantees #BeATippingPoint Marin Independent Journal",Immigration,5/8/18 2:13 PM,660,0,660,7
https://www.facebook.com/tippingpoint/posts/10155213684151097,"Our Founder + CEO Daniel Lurie on why we're asking all San Franciscans to help our next Mayor make good their pledge to secure 1,000 homes for our homeless neighbors within their first year in office.",Homelessness,5/6/18 9:26 AM,2249,0,2249,87
https://www.facebook.com/tippingpoint/posts/10155210038181097,Amanda Gordon from Bloomberg joined us to report on the #TippingPointBenefit last night! Check out her scoop on how we’re using #CryptoForGood. #BeATippingPoint #MakePovertyPreventable,Philanthropy,5/4/18 1:21 PM,1074,0,1074,39
https://www.facebook.com/tippingpoint/posts/10155209908616097,"Thank you to all our guests for generously supporting the work of our grantees! Together, we can build a better Bay Area. #TippingPointBenefit #BeATippingPoint",Philanthropy,5/4/18 12:05 PM,2082,0,2082,111
https://www.facebook.com/tippingpoint/posts/10155209377241097,"We're asking everyone in San Francisco help turn mayoral campaign promises into action: Keep our next Mayor to their pledge to secure 1,000 homes for our homeless neighbors in the first year of their term. Dominic Fracassa of San Francisco Chronicle has the story. #PreventHomelessness #BeATippingPoint",Homelessness,5/4/18 7:40 AM,1388,0,1388,48
