Tweet id,Tweet_permalink,Tweet_text,Attribute,time,impressions,engagements,url clicks
9.79902E+17,https://twitter.com/tippingpoint/status/979902365447827457,"Thank you to our #TippingPointGrantees! It's an honor to work with you to build a better Bay Area.https://t.co/qwmUq7Alsd",Event Promotion,2018-03-31 02:05 +0000,980,9,5
9.7987E+17,https://twitter.com/tippingpoint/status/979869683414310913,".@NewTeacherCtr's newly released program standards focus on equity + closing the achievement gap as well as teacher retention + leadership. @EdSource#TippingPointGrantees #BeATippingPointhttps://t.co/uMpXlNeIF9 https://t.co/nW4n9TvOG0",Education,2018-03-30 23:55 +0000,2676,40,4
9.79863E+17,https://twitter.com/tippingpoint/status/979862609288572928,"The majority of our chronically homeless neighbors live with a physical or mental disability - our investment to help complete the expansion of the Medical Respite and Sobering Center increases the City's capacity to serve these neighbors.https://t.co/gMwThjJYvP",Homelessness,2018-03-30 23:27 +0000,1352,10,1
9.79768E+17,https://twitter.com/tippingpoint/status/979767964017676289,"Congratulations to AD-10 Woman of the Year Lucia Martel-Dow, Director of Immigration and Legal Services at Canal Alliance. Lucia's efforts to educate and advocate for immigrant families make our community safer and stronger. #BeATippingPoint https://t.co/EBrz0HOEyX",Immigration,2018-03-30 17:11 +0000,1018,5,0
9.79457E+17,https://twitter.com/tippingpoint/status/979457443213144064,Thanks for the shout out @New_Sincerity! Our incredible grantees are the true pioneers - learn more about their work and how we support them at https://t.co/5tYWALIffE https://t.co/Iuz5l788CX,Nonprofits,2018-03-29 20:37 +0000,869,2,0
9.79457E+17,https://twitter.com/tippingpoint/status/979457330377932800,"Congrats @RocketshipEd! Proud to partner with your incredible teachers, admins, parents and students to build a better Bay Area! #TippingPointGrantees #BeATippingPoint https://t.co/hNTKIPHpTJ",Education,2018-03-29 20:36 +0000,1727,13,0
9.79161E+17,https://twitter.com/tippingpoint/status/979161176549376000,"Ali Knight, COO of @FLY_program shares his story, and the importance of providing young people with support that is ""authentic and based in respect and care."" @TheRoot #TippingPointGranteeshttps://t.co/RdQKdVkC7w",Race,2018-03-29 00:59 +0000,780,3,1
9.79158E+17,https://twitter.com/tippingpoint/status/979158090573426688,"""We need to do something here at home"" - Chuck Robbins, CEOExciting move by @Cisco will boost the excellent work of @DSTNHome and others working to serve those experiencing homelessness in #SiliconValley @mercnewshttps://t.co/lxof3N0aTm",Corporate Social Responsibility,2018-03-29 00:47 +0000,1683,32,3
9.78792E+17,https://twitter.com/tippingpoint/status/978792407595597824,"As our CEO @DanielLurie said last week, we are encouraged by the plans to address homelessness from SF Mayoral candidates and will be working to help set the bar even higher. @CurbedSF #BeATippingPointhttps://t.co/pe7S1xdI6y",Homelessness,2018-03-28 00:34 +0000,1353,18,9
9.78786E+17,https://twitter.com/tippingpoint/status/978785540890750976,"While more low-income students are going to college, graduation rates aren't increasing. This has real implications for future wages. #TippingPointGrantees are helping to prepare low-income students to both attend and graduate. #BeATippingPoint https://t.co/QkJMMbOmv2",Education,2018-03-28 00:07 +0000,1113,7,0
9.78726E+17,https://twitter.com/tippingpoint/status/978726019916943360,@FLYprogram_org Fired up to see Sam Cobbs' wisdom and expertise helping to fuel these critical conversations! Shout out to @FLYprogram_org Board and staff for building a stronger community for our young people. #TippingPointGrantees #BeATippingPoint,Nonprofits,2018-03-27 20:10 +0000,192,4,0
9.78436E+17,https://twitter.com/tippingpoint/status/978435908859977728,"""...the best investment we can make is in people""Innovative poverty-fighting experiments from #Stockton Mayor @MichaelDTubbs - we're rooting for you! #ReInventStockton #BeATippingPointhttps://t.co/E4p2hnZ1Dy",Poverty,2018-03-27 00:57 +0000,1598,30,7
9.78422E+17,https://twitter.com/tippingpoint/status/978422133012316160,"We can't improve what we can't evaluate - recent expansion of data collection, sharing + analysis in Florida's criminal justice system has exciting potential to reduce harm that disproportionately impacts low-income people and people of color. @nytimeshttps://t.co/i9iVN8aDNe",Data,2018-03-27 00:03 +0000,1049,7,1
9.78302E+17,https://twitter.com/tippingpoint/status/978302295749242880,@juliahartz @eventbrite Thank you for the opportunity to speak with the @eventbrite team! We're always excited to bring more people into the fight against poverty in the Bay Area #BeATippingPoint,Poverty,2018-03-26 16:06 +0000,94,1,0
